TEA,SLN,econ_cpr,econ_fincap,econ_medinc,econ_paydaycap,econ_pctlwjobs,econ_pctmwjobs,econ_totjobs,econ_pr,econ_pyr,econ_ur,econ_cpr_sd,econ_fincap_sd,econ_medinc_sd,econ_paydaycap_sd,econ_pctlwjobs_sd,econ_pctmwjobs_sd,econ_totjobs_sd,econ_pr_sd,econ_pyr_sd,econ_ur_sd
129,129,0.328695418115946,2.50413067754925,33615.0756082,1.0955571714278,0.237282573022645,0.366130620282245,15235,0.206329780215306,0.243027516616558,0.0447539555046717,2,2,2,3,2,2,2,2,2,3
218,218,0.290735621057667,1.92933634012803,31468.7816063,1.18728390161725,0.261512605042017,0.382521008403361,14875,0.193618404818981,0.227359395420592,0.0480630475359946,2,2,2,2,2,2,2,2,3,3
216,216,0.359927091950191,0.755213764983859,23026.9776247,1.51042752996772,0.209103329258647,0.406773567268282,13907,0.262943893872049,0.330643016441485,0.0487377973352842,2,1,1,2,3,3,1,1,1,3
139,139,0.406260450030771,1.29445058190565,22191.2071543,1.94167587285848,0.230938315702706,0.334936117598571,14558,0.293836584347792,0.308583709246306,0.077009903789524,1,2,1,1,2,1,2,0,2,1
240,240,0.374935657528769,1.93741852276936,25163.9993462,1.1301608049488,0.221364930651235,0.381188573528061,21774,0.245169653971278,0.243041305208924,0.0457216218897795,1,2,1,2,3,2,2,2,2,3
128,128,0.466107781016059,3.01759374006474,23021.2004988,2.11231561804532,0.143484925907001,0.256637710781809,48925,0.324376465115083,0.312087364094774,0.0829955983611835,0,3,1,1,4,0,3,0,2,0
200,200,0.435897354833966,1.26888116731287,19711.0537452,1.58610145914109,0.237024221453287,0.349019607843137,8670,0.331447905854253,0.31855402067462,0.0994116928042573,0,2,1,2,2,2,1,0,2,0
201,201,0.465485465051767,0.740166327729215,20211.0973186,1.85041581932304,0.230080572963295,0.367837958818263,8936,0.343447508509988,0.311525850495442,0.0991083720158306,0,1,1,1,2,2,1,0,2,0
232,232,0.371791097805445,1.93916049675486,26586.1028859,0.881436589434025,0.220008952551477,0.39913458669054,13404,0.239237692531345,0.268104098228093,0.0505929592978942,1,2,2,3,3,3,1,2,2,2
209,209,0.391507103487,0,22192.809917,0.48639815060148,0.197276016173654,0.392423919982975,4699,0.280428084242778,0.179555017047771,0.0666458369387411,1,0,1,4,3,2,1,1,3,2
155,155,0.356902715544533,0.173345728289371,23494.2963177,0.346691456578742,0.206926854484363,0.3901783406565,19345,0.254513030783008,0.354553417948646,0.0499005175026048,2,0,1,4,3,2,2,1,1,2
247,247,0.374200183312661,1.05358829208062,24152.8836265,0.877990243400513,0.238324550245321,0.399736507359622,22012,0.253313766349913,0.243346623900141,0.0412968689594421,1,1,1,3,2,3,2,1,2,3
162,162,0.0914635508810478,3.92370881869862,61906.8396364,1.30790293956621,0.267446645893351,0.313892645070257,51027,0.0938991741116016,0.191364826687422,0.0268764190388338,4,4,4,2,1,0,3,4,3,4
174,174,0.203409658274643,3.04181116263109,55881.3676803,1.46006935806292,0.270464216634429,0.316363636363636,51700,0.134628749523084,0.180635833292628,0.0315891647402716,4,3,4,2,1,0,3,4,3,4
177,177,0.314724295931752,3.0937925999279,44606.5539072,1.47963993909595,0.15992171977472,0.293192309416035,66939,0.1905120593796,0.263707822880058,0.0403878950232091,2,3,4,2,4,0,4,3,2,3
184,184,0.241802656358548,5.09652189280547,59030.0105037,1.44241185645438,0.159801845137667,0.263603403094375,139285,0.130419291196626,0.108061513593008,0.0280182902764257,3,4,4,2,4,0,4,4,4,4
203,203,0.231763098323248,3.51726664866728,55526.3286088,2.16447178379525,0.290552027357108,0.310405471421593,51175,0.155479209114805,0.200556605214966,0.0386115920995563,4,3,4,1,1,0,3,4,3,4
281,281,0.3382117372633,7.78556282987035,48819.3300927,1.57682285161931,0.137138709645346,0.239970370959563,201154,0.158071403330804,0.128589795066775,0.0313782079133815,2,4,4,2,4,0,4,4,4,4
145,145,0.253574503174103,1.02857306950812,44023.3377467,2.74286151868832,0.163987387573659,0.249353871601365,38692,0.159133916705446,0.291383663048948,0.044135993081598,3,1,4,0,4,0,2,3,2,3
168,168,0.255052345375314,6.25647028273026,24170.0239069,4.00414098094737,0.131791763681283,0.253976858681549,112526,0.170654217159152,0.20355167104606,0.0422226974651996,3,4,1,0,4,0,4,3,3,3
181,181,0.158343452462404,5.08672340078968,40398.4587433,1.9983556217388,0.131590750076245,0.262616386501857,111482,0.122255231322631,0.0917638011745433,0.0279999574463247,4,4,3,1,4,0,4,4,4,4
