TEA,SLN,hel_bphigh,hel_castthma,hel_checkup,hel_fruitsveggies,hel_le,hel_mhlth,hel_obesity,hel_perpri,hel_perpub,hel_prtopu,hel_pharmacap,hel_phlth,hel_sleep,hel_stroke,hel_perins,hel_perunin,hel_clincap,hel_groccap,hel_bphigh_sd,hel_castthma_sd,hel_checkup_sd,hel_fruitsveggies_sd,hel_le_sd,hel_mhlth_sd,hel_obesity_sd,hel_perpri_sd,hel_perpub_sd,hel_prtopu_sd,hel_pharmacap_sd,hel_phlth_sd,hel_sleep_sd,hel_stroke_sd,hel_perins_sd,hel_perunin_sd,hel_clincap_sd,hel_groccap_sd
100,100,3411.20050295648,954.008269765392,6497.77024303045,354.817885499,77.7633885458,1660.90214707311,3833.07777011061,0.423394845605075,0.340524389922868,1.24336129256697,1.45138930427772,1625.40615302315,3612.70110610598,362.25482941562,0.733053413009714,0.266617527048727,0.26388896441413,0.923611375449456,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2
284,284,3198.56123286412,905.648938644317,6584.94120105204,389.81616312,78.5877335592,1438.99231229531,3305.23211919312,0.53809264940007,0.287655807090436,1.87061285097192,1.55465570806628,1344.67137573648,3338.87575692934,312.137412063458,0.764512872286724,0.235331806003184,0.194331963508284,0.582995890524853,2,2,2,2,3,2,3,3,1,2,1,2,2,2,2,2,1,0
280,280,2387.0200851199,742.815622070052,5733.03481267423,470.94186888,80.6374691785,1076.99461339969,2596.39253895448,0.637803339517625,0.199243042671614,3.20113230035757,2.07760455184121,885.992222148717,2811.14170199042,194.161148300854,0.780779220779221,0.21899814471243,0.296800650263031,0.593601300526061,4,4,0,4,4,4,4,4,0,4,2,4,0,0,3,1,1,1
169,169,3286.35895605046,816.487603554375,6978.49464362683,475.214283805,80.5067796428,1050.74094140939,2779.89077846481,0.733364814973813,0.24673735725938,2.97224880382775,9.22667124285162,1043.58817471623,2926.06069510982,291.18183265235,0.869816261698291,0.130183738301709,0.429147499667517,1.50201624883631,2,3,4,4,4,4,4,4,0,4,4,4,0,1,4,0,2,4
167,167,2602.00687148703,834.905168435018,5258.82043602088,340.790702202,74.9586655405,1513.67032820159,3167.25979512399,0.344832103401598,0.365005894939086,0.944730230888862,0.854801088201568,1319.59830506927,3069.68503860498,256.858649085826,0.69289550674643,0.307017160822672,0.427400544100784,0.427400544100784,4,3,0,1,1,2,3,1,3,1,0,3,1,1,1,4,2,0
187,187,3148.0282999939,948.544379533142,5955.82940491941,329.484701351,75.2612597109,1762.11300923978,3768.00525227596,0.311855186644157,0.359547927218158,0.86735359332203,0,1637.37117110255,3531.65059038594,334.95891729763,0.662586756706059,0.337319452260364,0,0,2,2,1,1,1,1,2,0,2,1,0,1,2,2,0,4,0,0
305,305,3329.18655548112,994.721555776889,6274.47380842788,333.31101537,76.4662107734,1843.91620076338,3935.44182397615,0.337575757575758,0.370995670995671,0.909918319719953,0,1731.20430655929,3696.07889456518,352.826122794063,0.693246753246753,0.306493506493506,0,0,2,2,2,1,2,0,1,1,3,1,0,1,3,2,1,3,0,0
142,142,4948.05540252026,1231.31247917157,7555.75214938892,274.028780268,70.5740454674,1796.85936257128,4637.4388625488,0.330454712888307,0.477796422870708,0.691622408771629,2.47690488636065,1874.60843987965,4268.52563202793,653.82000618966,0.781156632423362,0.218597798060001,0,1.23845244318033,0,0,4,0,0,0,0,0,4,0,2,0,4,4,3,1,0,3
301,301,3753.92357998353,831.740504628336,5760.15347379553,338.785551101,75.4537218391,1143.4744714559,3282.94548056085,0.414699570815451,0.419259656652361,0.989123480486244,2.68441434103688,1291.53467778574,3016.7475895389,461.61743250909,0.796271459227468,0.203594420600858,1.34220717051844,0,1,3,0,1,2,4,3,2,4,1,2,3,0,3,3,1,4,0
235,235,4394.48012821178,1170.38230062515,7330.44401875395,322.237057211,75.4386806692,1700.24864136825,4366.54424564613,0.406346693530978,0.433354920726296,0.937676426634195,3.60562659125387,1650.06663919895,4084.75292066708,496.874579701325,0.786116907725888,0.213979036242834,0.240375106083591,0.721125318250774,0,0,4,1,2,1,0,2,4,1,3,1,4,4,3,1,1,1
