TEA,SLN,comm_bbp,comm_bvp,comm_cctrcap,comm_incarpct,comm_juvcrimecap,comm_libcap,comm_ltbvp,comm_ltrvp,comm_ocb,comm_ocbp,comm_parkcap,comm_rcb,comm_rcbp,comm_rvp,comm_u18bbp,comm_evrate,comm_bbp_sd,comm_bvp_sd,comm_cctrcap_sd,comm_incarpct_sd,comm_juvcrimecap_sd,comm_libcap_sd,comm_ltbvp_sd,comm_ltrvp_sd,comm_ocb_sd,comm_ocbp_sd,comm_parkcap_sd,comm_rcb_sd,comm_rcbp_sd,comm_rvp_sd,comm_u18bbp_sd,comm_evrate_sd
136,136,0.633384613850111,0.0726390793581,0.265585774089925,0.00351865268446403,170.100374376645,0.132792887044963,0.07218354453,0.0175922683096,2634.7104772359,0.24201977793842,0.082690435880318,4762.465740001,0.455832481946701,0.0189597516441,0.60657555982176,98.8643044049747,1,4,1,3,3,0,4,2,2,3,1,2,2,3,1,4
149,149,0.663215328172864,0.0824776895217,0.250979216070855,0.00344293227934997,145.590624451353,0.250979216070855,0.0811931703586,0.0214561002081,2992.813271558,0.241756643721341,0.0753705514404469,4902.277797816,0.471249842639133,0.0229678612514,0.647708015197071,115.011225764469,2,3,1,3,3,2,3,2,1,3,1,2,2,2,1,3
152,152,0.74920862454384,0.0942042310976,0.224770602973993,0.00442397772920461,211.798484088599,0.224770602973993,0.0857453917808,0.0240147890101,3196.89671645,0.233228516225329,0.0750624092161047,5861.7988175936,0.483171895707057,0.0259745232488,0.778601780675304,119.577960782164,3,3,1,3,2,2,3,2,0,4,1,1,2,2,3,3
157,157,0.805165323025223,0.123785314844,0.937438210389747,0.00611163755066899,321.659536226078,0.187487642077949,0.119555172622,0.0433135549404,1806.309072111,0.22548717548642,0.341437286115996,4667.830618912,0.400767662944259,0.0459189260136,0.835984989210577,127.022877507811,4,2,3,2,2,1,1,0,3,4,4,2,4,0,4,3
158,158,0.727007549559035,0.0881614805805,0.231650541235024,0.00326541652313016,176.30245662236,0.347475811852537,0.0827358818647,0.0214893805547,3141.340072558,0.221140559810332,0.060680812255277,5487.24367317815,0.457027425929934,0.0225215413502,0.714999247639747,87.4480793162217,2,3,1,3,3,4,3,2,0,4,1,2,2,2,2,4
275,275,0.720771309432977,0.0848582445548,0.416492049391257,0.0040233312410955,169.948731814543,0.416492049391257,0.0830570514222,0.0210752805953,2644.397201864,0.22167332279463,0.0749565670364561,4766.721364138,0.445744061827893,0.0219608281188,0.699070503765501,93.3636344052067,2,3,2,3,3,4,3,2,2,4,1,2,3,2,2,4
190,190,0.679818328284318,0.0785471314113,0.125658737355317,0.00330085052520167,140.426522266656,0.125658737355317,0.0776448215965,0.0196876827334,2786.871801405,0.221637407015977,0.0822466033014971,4983.36455096178,0.460451398746278,0.0207089768842,0.64780881517003,84.6311596088061,2,4,0,3,3,0,3,2,1,4,1,2,2,2,1,4
192,192,0.771697924113344,0.125602164048,0.389314219244323,0.00530139463766778,258.333925059149,0.129771406414774,0.116978299135,0.0387811885594,3060.233254922,0.239199494068087,0.0858297360505781,5277.67418810311,0.450694279311218,0.0413524129768,0.799809760841187,107.969810137092,3,1,2,2,2,0,1,0,1,3,1,2,2,1,4,3
197,197,0.785674936437508,0.129047444993,0.295907326378362,0.00534575648684606,265.802162477391,0.147953663189181,0.122088211194,0.0410514008163,2556.298963929,0.230672070841879,0.190444683829146,5148.2168292175,0.43806338741918,0.0433262727901,0.811248840953275,144.328798441046,3,1,1,2,2,1,1,0,2,4,2,2,3,0,4,2
204,204,0.751490882462652,0.0911776543348,0.427678323570956,0.00438960095115379,206.84919015232,0.285118882380637,0.087888154399,0.0219159060569,2563.91451233,0.224145668853867,0.0726722047886348,4994.377434519,0.433724497659413,0.0228955410729,0.743445449842818,106.919580892739,3,3,2,3,2,2,3,2,2,4,1,2,3,2,2,3
